Class,Specimen,Eccentricity,Elongation,Solidity,Stochastic_convexity,Lobedness,Avd_intensity,Avg_contrast,smoothness,Third_moment,Uniformity,Entropy
1,1,0.72694,0.32396,0.98535,1,0.0039465,0.04779,0.12795,0.016108,0.0052323,0.00027477,1.1756
1,2,0.74173,0.36116,0.98152,0.99825,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.48E-05,0.69659
1,3,0.76722,0.38998,0.97755,1,0.010121,0.011897,0.057445,0.0032891,0.00092068,3.79E-05,0.44348
1,4,0.73797,0.35376,0.97566,1,0.0086068,0.01595,0.065491,0.0042707,0.0011544,6.63E-05,0.58785
1,5,0.82301,0.44462,0.97698,1,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.35E-05,0.34214
1,6,0.72997,0.34284,0.98755,1,0.0044506,0.010487,0.058528,0.0034138,0.0011248,2.48E-05,0.34068
1,7,0.82063,0.44458,0.97964,0.99649,0.0063954,0.018375,0.080587,0.0064523,0.0022713,4.15E-05,0.53904
1,8,0.77982,0.39222,0.98512,0.99825,0.0047314,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
1,9,0.83089,0.45693,0.9824,1,0.006564,0.0072447,0.040616,0.0016469,0.00038812,3.29E-05,0.33696
1,10,0.90631,0.58336,0.97683,0.99825,0.012848,0.0070096,0.042347,0.0017901,0.00045889,2.83E-05,0.28082
1,11,0.7459,0.34116,0.98296,1,0.0056395,0.0057679,0.036511,0.0013313,0.00030872,3.18E-05,0.25026
1,12,0.79606,0.43387,0.98181,1,0.011071,0.013677,0.057832,0.0033334,0.00081648,0.00013855,0.49751
2,1,0.93361,0.64257,0.98346,1,0.0055731,0.029712,0.089889,0.0080153,0.0020648,0.00023883,0.91499
2,2,0.91186,0.60323,0.983,1,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.33E-05,0.67811
2,3,0.89063,0.56667,0.98732,1,0.0014643,0.029272,0.091328,0.0082717,0.0022383,0.00020166,0.87177
2,4,0.86755,0.51464,0.98691,1,0.0053937,0.030348,0.092063,0.0084044,0.0022541,0.00019854,0.94545
2,5,0.91852,0.61648,0.9787,1,0.0046404,0.02309,0.082029,0.0066839,0.0018929,0.00012452,0.71713
2,6,0.88795,0.56218,0.97835,0.99825,0.0063874,0.032722,0.092969,0.0085691,0.0021199,0.00027729,1.008
2,7,0.85121,0.4892,0.98622,1,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
2,8,0.89084,0.57815,0.97389,1,0.042443,0.028461,0.086477,0.0074228,0.0018832,0.00024345,0.91307
2,9,0.93062,0.65828,0.98182,1,0.0076645,0.023606,0.072237,0.005191,0.0011217,0.00025558,0.90513
2,10,0.84113,0.46549,0.99039,1,0.0039793,0.062798,0.13234,0.017213,0.0044528,0.00065523,1.653
3,1,0.70273,0.36317,0.9211,0.98772,0.10134,0.089301,0.20088,0.038786,0.015895,0.0004049,1.5371
3,2,0.66307,0.32559,0.94952,0.99649,0.032621,0.021815,0.097143,0.0093485,0.0040284,3.63E-05,0.5341
3,3,0.61289,0.33117,0.92405,0.98421,0.11877,0.054687,0.1606,0.025145,0.011672,0.00012121,1.1076
3,4,0.70668,0.38111,0.94226,0.99825,0.068724,0.031587,0.11502,0.013056,0.0053112,8.64E-05,0.72247
3,5,0.66889,0.3846,0.90355,0.99649,0.14606,0.057506,0.15931,0.024752,0.010304,0.00018533,1.1365
3,6,0.50139,0.29593,0.91585,0.99825,0.086347,0.054635,0.1598,0.024899,0.011106,0.00016162,1.0511
3,7,0.60803,0.3446,0.90487,0.99649,0.18538,0.06245,0.16411,0.026225,0.010602,0.00022964,1.2307
3,8,0.56599,0.35318,0.89086,0.99825,0.19785,0.026348,0.10589,0.011088,0.0046505,5.20E-05,0.62671
3,9,0.68605,0.37528,0.91639,0.99825,0.16753,0.058401,0.16858,0.027633,0.012886,0.00015525,1.0815
3,10,0.59571,0.32592,0.92056,0.99825,0.11151,0.042051,0.14722,0.021213,0.010881,6.47E-05,0.83221
4,1,0.39432,0.17272,0.96806,0.99298,0.028432,0.073063,0.13718,0.01847,0.0040597,0.00090977,1.8893
4,2,0.62011,0.2836,0.96952,0.99825,0.013637,0.04722,0.1186,0.013872,0.0037549,0.00044188,1.2024
4,3,0.73429,0.40827,0.94518,1,0.040879,0.038113,0.092188,0.0084269,0.0017773,0.00047378,1.335
4,4,0.64161,0.31556,0.93324,0.97895,0.058729,0.030897,0.08221,0.0067132,0.0014678,0.00029878,1.2359
4,5,0.64056,0.28616,0.97053,0.99649,0.015281,0.020413,0.065575,0.0042817,0.00089749,0.00020433,0.86218
4,6,0.74242,0.38804,0.95593,0.99474,0.030306,0.020679,0.064242,0.0041101,0.00079505,0.00026812,0.87687
4,7,0.39289,0.17039,0.96405,1,0.025176,0.025409,0.078211,0.0060798,0.0015299,0.00015762,1.0326
4,8,0.53017,0.23254,0.97337,1,0.0079913,0.048541,0.10941,0.011828,0.0027809,0.00048839,1.5452
5,1,0.87844,0.63151,0.83923,0.83684,0.34539,0.045468,0.12554,0.015515,0.0051589,0.00022842,1.1374
5,2,0.88075,0.58345,0.83383,0.91754,0.29973,0.035786,0.10047,0.0099932,0.002759,0.00025802,1.0952
5,3,0.86545,0.62039,0.82443,0.85439,0.40204,0.039518,0.1157,0.01321,0.0042406,0.00020084,1.0136
5,4,0.93671,0.7298,0.81793,0.86491,1.1805,0.048722,0.12051,0.014314,0.0039983,0.00037216,1.3083
5,5,0.92676,0.6558,0.82432,0.89474,0.26298,0.059981,0.14901,0.021723,0.0075251,0.00028398,1.353
5,6,0.90944,0.69555,0.80873,0.85263,0.40663,0.039446,0.10517,0.010939,0.0028913,0.00029366,1.1602
5,7,0.89493,0.64925,0.81682,0.83509,0.45418,0.041808,0.12036,0.01428,0.0048007,0.00017096,1.0962
5,8,0.93613,0.67175,0.84434,0.90526,0.28077,0.048447,0.11955,0.014091,0.0037887,0.00042459,1.2593
5,9,0.88172,0.63974,0.8499,0.87368,0.4879,0.06103,0.1519,0.022554,0.0080813,0.00025039,1.3805
5,10,0.86224,0.62464,0.85754,0.89298,0.46952,0.064428,0.16335,0.025989,0.010189,0.00023873,1.3343
5,11,0.82268,0.59909,0.84493,0.85614,0.43348,0.079282,0.18571,0.033338,0.013523,0.00027502,1.5377
5,12,0.82135,0.6025,0.84981,0.87544,0.57236,0.069239,0.16319,0.02594,0.0092918,0.00032134,1.4686
6,1,0.46348,0.72231,0.63754,0.47544,4.0212,0.010917,0.053494,0.0028534,0.00087543,2.96E-05,0.53199
6,2,0.50784,0.623,0.73625,0.59649,3.2176,0.014816,0.067044,0.0044748,0.0013737,3.79E-05,0.52114
6,3,0.47728,0.68343,0.76364,0.56667,2.1022,0.024036,0.080623,0.0064581,0.0018312,0.00010648,0.90702
6,4,0.52744,0.51662,0.77201,0.84211,2.3811,0.0254,0.082047,0.0066868,0.0017982,0.00012196,0.944
6,5,0.50964,0.70618,0.72175,0.56491,2.3093,0.021181,0.080306,0.0064077,0.0020323,6.58E-05,0.73274
6,6,0.63965,0.60663,0.77037,0.62105,2.8155,0.025438,0.096215,0.0091723,0.0034208,5.16E-05,0.75194
6,7,0.71847,0.693,0.75574,0.66667,1.7774,0.021217,0.073201,0.0053299,0.0013612,0.00012452,0.79862
6,8,0.47815,0.52998,0.81654,0.8193,2.4268,0.006859,0.042071,0.0017668,0.00047564,1.44E-05,0.30832
